iter	Accuracy	MultiClass
0	0.6594007202	1.822551988
1	0.6682098765	1.725200701
2	0.6862782922	1.637286509
3	0.6901363169	1.567702988
4	0.6963734568	1.502848672
5	0.69843107	1.444754152
6	0.700938786	1.391926469
7	0.7010030864	1.344003561
8	0.7028034979	1.300189419
9	0.7082690329	1.258838519
10	0.7077546296	1.223150409
11	0.7116769547	1.191795044
12	0.7149562757	1.159202328
13	0.7177854938	1.128615203
14	0.7190715021	1.101221314
15	0.7217721193	1.076179918
16	0.7229295267	1.051278235
17	0.7279449588	1.026829041
18	0.731867284	1.005061524
19	0.7359182099	0.9846281389
20	0.7377829218	0.9652795118
21	0.7406764403	0.9451470787
22	0.7425411523	0.9288559117
23	0.7433127572	0.9130318932
24	0.7458204733	0.8961559308
25	0.7476208848	0.8809239852
26	0.7498070988	0.866248344
27	0.752186214	0.851576981
28	0.7566872428	0.8384438053
29	0.7582947531	0.8257823775
30	0.7616383745	0.8132122688
31	0.7651748971	0.8009686703
32	0.7662037037	0.790377401
33	0.769225823	0.7792283191
34	0.7687757202	0.7687693584
35	0.7725694444	0.7574797978
36	0.7730838477	0.7479323851
37	0.7749485597	0.7388587416
38	0.7752700617	0.7298829706
39	0.7769418724	0.7212162523
40	0.7798996914	0.7118696908
41	0.7829861111	0.7037751141
42	0.7838863169	0.6959575556
43	0.7850437243	0.6879436153
44	0.7862011317	0.6810348485
45	0.7874228395	0.6745637314
46	0.7894161523	0.6684081504
47	0.7899305556	0.6626007283
48	0.7909593621	0.6562830314
49	0.7917309671	0.6503659432
50	0.7934670782	0.6447593008
51	0.7959747942	0.6394207839
52	0.7964248971	0.6337500525
53	0.7979038066	0.6284012949
54	0.7991255144	0.6233493554
55	0.8005401235	0.6178146364
56	0.802662037	0.6119841244
57	0.8036908436	0.6077439497
58	0.8058770576	0.6031296527
59	0.8064557613	0.5989633995
60	0.8081918724	0.5939192585
61	0.8096064815	0.5889695005
62	0.8101208848	0.5849469993
63	0.8118569959	0.580636789
64	0.8130144033	0.5761080886
65	0.8143004115	0.5725609913
66	0.8152649177	0.5685469577
67	0.8168081276	0.5653621486
68	0.8175154321	0.5618688598
69	0.8177726337	0.5581128784
70	0.8183513374	0.5544095387
71	0.8191872428	0.550939986
72	0.8213091564	0.5476788556
73	0.8208590535	0.5447162537
74	0.8216949588	0.5420853724
