iter	Passed	Remaining
0	258	129066
1	510	127039
2	761	126102
3	1007	124987
4	1291	127878
5	1574	129630
6	1966	138510
7	2330	143340
8	2784	151888
9	3184	156047
10	3595	159834
11	3920	159420
12	4236	158716
13	4540	157606
14	4845	156668
15	5165	156249
16	5463	155234
17	5774	154630
18	6110	154681
19	6458	155004
20	6785	154768
21	7179	155981
22	7493	155413
23	7799	154698
24	8085	153622
25	8367	152541
26	8669	151882
27	8973	151272
28	9253	150285
29	9527	149271
30	9811	148438
31	10103	147760
32	10371	146770
33	10633	145743
34	10907	144907
35	11190	144235
36	11458	143388
37	11733	142652
38	12024	142134
39	12318	141666
40	12598	141039
41	13078	142620
42	13870	147415
43	14567	150971
44	15259	154289
45	16005	157964
46	16690	160867
47	17386	163718
48	17978	165476
49	18611	167503
50	19242	169410
51	19823	170784
52	20415	172186
53	21032	173716
54	34119	276060
55	35199	279082
56	36217	281480
57	37088	282637
58	37944	283616
59	38640	283361
60	39618	285120
61	40714	287626
62	41304	286510
63	41941	285723
64	42477	284270
65	43024	282920
66	43549	281449
67	44045	279820
68	44431	277536
69	44809	275257
70	45272	273549
71	45735	271869
72	46214	270323
73	46686	268765
74	47214	267549
